nombre_comun,vegetacion,edad,emplazamiento,pap,DAP,altura_arbol,diametro_copa,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad
Acacia robinia,Arbol,Maduro,Escenario depor/cult,"0,91","0,29","13,5",10,1,Subterranea,No,Globosa,Alto (67 - 100%),Sano
Acacia robinia,Arbol,Maduro,Escenario depor/cult,"0,29","0,09",8,5,1,Subterranea,No,Irregular,Medio (34 - 66%),Sano
Guacimo,Arbol,Maduro,Escenario depor/cult,"0,29","0,09",8,"2,2",1,Subterranea,No,Irregular,Bajo (0 - 33%),Sano
"Aguacatillo, Laurel aguacatillo",Arbol,Maduro,Escenario depor/cult,"1,2","0,38",11,8,1,Subterranea,No,Irregular,Alto (67 - 100%),Regular
Guayacan rosado,Arbol,Maduro,Escenario depor/cult,0,"0,15","9,5","7,5",2,Subterranea,No,Globosa,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Escenario depor/cult,"0,38","0,12",9,5,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Ficus Pertusa,Arbol,Juvenil,Escenario depor/cult,0,"0,04","4,3",4,2,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
Carbonero de flor roja,Arbusto,Maduro,Escenario depor/cult,0,"0,08","3,5",5,2,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Aguacatillo, Laurel aguacatillo",Arbol,Maduro,Escenario depor/cult,"1,3","0,41",14,11,1,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Guayabo,Arbusto,Maduro,Escenario depor/cult,0,"0,14",5,5,2,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Mamoncillo,Arbol,Juvenil,Escenario depor/cult,"0,19","0,06",6,2,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Cedro rosado,Arbol,Maduro,Escenario depor/cult,"0,72","0,23",14,5,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Cedro rosado,Arbol,Maduro,Escenario depor/cult,"0,35","0,11","9,5","2,5",1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Cedro rosado,Arbol,Maduro,Escenario depor/cult,"0,4","0,13",10,3,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Carbonero de flor roja,Arbusto,Maduro,Escenario depor/cult,0,"0,06","3,2",4,2,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Cedro,Arbol,Maduro,Escenario depor/cult,"0,64","0,2",11,"3,5",1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Cedro,Arbol,Maduro,Escenario depor/cult,"0,61","0,19",11,4,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Cedro,Arbol,Juvenil,Escenario depor/cult,"0,16","0,05","5,6",2,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Cedro,Arbol,Juvenil,Escenario depor/cult,"0,38","0,12","6,5",2,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"0,48","0,15","4,6",6,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Balso, Balsa, Balso negro, Balso tambor",Arbol,Longevo,Escenario depor/cult,"1,95","0,62",13,10,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Bala de canon, Macaco",Arbol,Maduro,Escenario depor/cult,"0,7","0,22",11,"4,5",1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Mango,Arbol,Juvenil,Escenario depor/cult,"0,21","0,07","4,2",5,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
Guacimo,Arbol,Longevo,Escenario depor/cult,0,"0,95",14,22,4,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
"Bala de canon, Macaco",Arbol,Maduro,Escenario depor/cult,"0,42","0,13",8,6,1,Subterranea,No,Globosa,Medio (34 - 66%),Regular
"Bala de canon, Macaco",Arbol,Maduro,Escenario depor/cult,"0,5","0,16",10,5,1,Subterranea,No,Globosa,Medio (34 - 66%),Regular
"Bala de canon, Macaco",Arbol,Juvenil,Escenario depor/cult,"0,27","0,09",5,4,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Guayacan rosado,Arbol,Maduro,Escenario depor/cult,"1,18","0,38",12,8,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Guayacan rosado,Arbol,Maduro,Escenario depor/cult,0,"0,22",12,"9,5",3,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
Guayacan rosado,Arbol,Maduro,Escenario depor/cult,0,"0,21",12,9,3,Subterranea,Si,Globosa,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,0,"0,14","4,3",7,2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,"1,8","0,57","8,5",10,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
Guayacan rosado,Arbol,Maduro,Escenario depor/cult,0,"0,21",11,10,2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Naranjo,Arbusto,Maduro,Escenario depor/cult,0,"0,04","6,1","2,7",2,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Zapote,Arbol,Maduro,Escenario depor/cult,"0,92","0,29",13,9,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
"Camajon, Camajon duro, Panama, Suan",Arbol,Longevo,Escenario depor/cult,0,"0,68",13,18,2,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,0,"0,64","8,5","11,5",2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,0,"0,48",10,14,3,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,"2,02","0,64",9,12,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,"1,45","0,46",7,11,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
Guayacan rosado,Arbol,Longevo,Escenario depor/cult,0,"0,36",16,12,2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Guayacan rosado,Arbol,Longevo,Escenario depor/cult,"2,2","0,7",15,12,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Almendro,Arbol,Maduro,Escenario depor/cult,"1,5","0,48","7,5",10,1,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"0,41","0,13",7,8,1,Subterranea,Si,Globosa,Bajo (0 - 33%),Regular
Aguacate,Arbol,Maduro,Escenario depor/cult,"0,65","0,21",8,7,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
